iter	Passed	Remaining
369	921	1568
370	924	1566
371	927	1565
372	929	1563
373	932	1561
374	936	1560
375	940	1560
376	943	1559
377	947	1558
378	950	1557
379	954	1557
380	957	1555
381	960	1553
382	963	1552
383	966	1550
384	969	1548
385	972	1546
386	975	1545
387	979	1545
388	983	1545
389	987	1544
390	990	1543
391	993	1541
392	997	1540
393	1001	1539
394	1004	1538
395	1007	1536
396	1010	1534
397	1014	1534
398	1017	1532
399	1020	1531
400	1027	1534
401	1037	1543
402	1041	1543
403	1046	1543
404	1051	1544
405	1055	1544
406	1058	1541
407	1062	1541
408	1065	1539
409	1068	1538
410	1072	1536
411	1075	1534
412	1079	1533
413	1082	1531
414	1085	1529
415	1088	1527
416	1090	1525
417	1094	1523
418	1097	1521
419	1099	1518
420	1102	1516
421	1105	1513
422	1107	1511
423	1111	1509
424	1114	1507
425	1116	1504
426	1119	1502
427	1121	1499
428	1125	1497
429	1127	1495
430	1130	1492
431	1132	1489
432	1135	1486
433	1138	1484
434	1141	1482
435	1143	1479
436	1145	1476
437	1148	1473
438	1151	1471
439	1153	1468
440	1157	1466
441	1160	1464
442	1162	1461
443	1165	1459
444	1167	1456
445	1170	1453
446	1173	1451
447	1175	1448
448	1178	1445
449	1180	1442
450	1182	1439
451	1185	1436
452	1187	1434
453	1190	1431
454	1192	1428
455	1195	1425
456	1197	1422
457	1199	1419
458	1202	1416
459	1204	1414
460	1207	1411
461	1209	1408
462	1211	1405
463	1214	1402
464	1216	1399
465	1219	1397
466	1222	1394
467	1224	1391
468	1226	1388
469	1228	1385
470	1231	1383
471	1233	1380
472	1236	1377
473	1238	1374
474	1240	1371
475	1243	1368
476	1246	1366
477	1256	1372
478	1259	1369
479	1261	1366
480	1263	1363
481	1265	1359
482	1267	1357
483	1270	1354
484	1272	1350
485	1274	1347
486	1276	1344
487	1278	1341
488	1280	1338
489	1283	1335
490	1285	1332
491	1288	1329
492	1290	1327
493	1292	1324
494	1294	1320
495	1296	1317
496	1299	1314
497	1301	1311
498	1303	1308
499	1305	1305
500	1308	1302
501	1310	1299
502	1312	1296
503	1314	1293
504	1317	1290
505	1319	1287
506	1321	1284
507	1323	1281
508	1325	1278
509	1327	1275
510	1329	1272
511	1332	1270
512	1334	1267
513	1336	1264
514	1339	1261
515	1341	1258
516	1343	1255
517	1345	1252
518	1348	1249
519	1350	1246
520	1353	1244
521	1355	1241
522	1357	1238
523	1359	1235
524	1361	1232
525	1364	1229
526	1366	1226
527	1368	1223
528	1370	1220
529	1372	1217
530	1374	1214
531	1377	1211
532	1379	1208
533	1382	1206
534	1384	1203
535	1386	1200
536	1389	1197
537	1391	1195
538	1394	1192
539	1396	1189
540	1399	1186
541	1401	1184
542	1403	1181
543	1405	1178
544	1408	1176
545	1410	1173
546	1413	1170
547	1415	1167
548	1417	1164
549	1419	1161
550	1421	1158
551	1424	1155
552	1426	1152
553	1428	1150
554	1430	1147
555	1432	1144
556	1435	1141
557	1437	1138
558	1440	1136
559	1442	1133
560	1444	1130
561	1447	1127
562	1449	1124
563	1451	1122
564	1453	1119
565	1456	1116
566	1458	1113
567	1461	1111
568	1463	1108
569	1465	1105
570	1467	1102
571	1469	1099
572	1472	1097
573	1474	1094
574	1476	1091
575	1478	1088
576	1480	1085
577	1483	1082
578	1485	1080
579	1487	1077
580	1490	1074
581	1492	1071
582	1494	1068
583	1496	1066
584	1498	1063
585	1501	1060
586	1503	1058
587	1506	1055
588	1508	1052
589	1510	1049
590	1512	1046
591	1514	1044
592	1517	1041
593	1519	1038
594	1522	1036
595	1524	1033
596	1526	1030
597	1528	1027
598	1530	1024
599	1533	1022
600	1536	1019
601	1538	1017
602	1541	1014
603	1543	1012
604	1545	1009
605	1548	1006
606	1550	1004
607	1553	1001
608	1555	998
609	1557	995
610	1560	993
611	1562	990
612	1564	987
613	1567	985
614	1569	982
615	1571	979
616	1573	976
617	1575	974
618	1578	971
619	1580	968
620	1582	965
621	1584	963
622	1587	960
623	1589	957
624	1591	955
625	1593	952
626	1596	949
627	1598	947
628	1600	944
629	1603	941
630	1605	938
631	1607	935
632	1609	933
633	1612	930
634	1614	928
635	1616	925
636	1618	922
637	1620	919
638	1623	916
639	1625	914
640	1627	911
641	1630	908
642	1632	906
643	1634	903
644	1637	900
645	1639	898
646	1641	895
647	1643	892
648	1646	890
649	1648	887
650	1650	884
651	1652	882
652	1654	879
653	1657	876
654	1659	874
655	1662	871
656	1664	868
657	1666	866
658	1668	863
659	1670	860
660	1673	858
661	1675	855
662	1677	852
663	1680	850
664	1682	847
665	1684	844
666	1687	842
667	1689	839
668	1691	836
669	1693	834
670	1696	831
671	1698	828
672	1700	826
673	1702	823
674	1704	820
675	1707	818
676	1709	815
677	1711	813
678	1714	810
679	1716	807
680	1718	804
681	1720	802
682	1722	799
683	1725	797
684	1727	794
685	1729	791
686	1732	789
687	1734	786
688	1736	783
689	1738	781
690	1741	778
691	1743	776
692	1745	773
693	1747	770
694	1749	767
695	1752	765
696	1754	762
697	1756	760
698	1758	757
699	1761	754
700	1763	752
701	1765	749
702	1768	746
703	1770	744
704	1772	741
705	1775	739
706	1777	736
707	1779	734
708	1782	731
709	1784	728
710	1786	726
711	1788	723
712	1791	721
713	1793	718
714	1795	715
715	1797	713
716	1799	710
717	1802	707
718	1804	705
719	1806	702
720	1809	700
721	1811	697
722	1813	694
723	1815	692
724	1817	689
725	1820	687
726	1823	684
727	1825	681
728	1827	679
729	1829	676
730	1831	674
731	1834	671
732	1836	669
733	1838	666
734	1841	663
735	1843	661
736	1845	658
737	1847	655
738	1849	653
739	1852	650
740	1854	648
741	1857	645
742	1859	643
743	1861	640
744	1864	638
745	1866	635
746	1868	633
747	1871	630
748	1873	627
749	1875	625
750	1878	622
751	1880	620
752	1882	617
753	1885	615
754	1887	612
755	1889	609
756	1892	607
757	1894	604
758	1896	602
759	1899	599
760	1901	597
761	1904	594
762	1906	592
763	1908	589
764	1911	587
765	1913	584
766	1915	582
767	1918	579
768	1920	576
769	1923	574
770	1926	572
771	1929	569
772	1931	567
773	1933	564
774	1936	562
775	1939	559
776	1941	557
777	1943	554
778	1945	552
779	1948	549
780	1950	546
781	1952	544
782	1955	541
783	1957	539
784	1959	536
785	1961	534
786	1964	531
787	1967	529
788	1969	526
789	1971	524
790	1974	521
791	1976	519
792	1979	516
793	1981	514
794	1983	511
795	1986	509
796	1988	506
797	1990	503
798	1993	501
799	1995	498
800	1998	496
801	2000	493
802	2002	491
803	2004	488
804	2007	486
805	2009	483
806	2011	481
807	2014	478
808	2016	476
809	2018	473
810	2020	470
811	2023	468
812	2026	466
813	2028	463
814	2031	461
815	2033	458
816	2035	455
817	2037	453
818	2040	450
819	2042	448
820	2044	445
821	2047	443
822	2049	440
823	2051	438
824	2054	435
825	2056	433
826	2059	430
827	2061	428
828	2064	425
829	2066	423
830	2068	420
831	2070	418
832	2072	415
833	2075	413
834	2077	410
835	2079	407
836	2082	405
837	2084	402
838	2086	400
839	2088	397
840	2091	395
841	2093	392
842	2095	390
843	2097	387
844	2100	385
845	2102	382
846	2104	380
847	2107	377
848	2109	375
849	2112	372
850	2114	370
851	2116	367
852	2118	365
853	2120	362
854	2123	360
855	2126	357
856	2128	355
857	2130	352
858	2133	350
859	2135	347
860	2137	345
861	2139	342
862	2141	340
863	2144	337
864	2146	335
865	2148	332
866	2151	329
867	2153	327
868	2155	325
869	2158	322
870	2160	319
871	2162	317
872	2164	314
873	2167	312
874	2169	309
875	2172	307
876	2174	304
877	2176	302
878	2178	299
879	2181	297
880	2183	294
881	2185	292
882	2188	289
883	2190	287
884	2193	284
885	2195	282
886	2197	279
887	2199	277
888	2202	274
889	2205	272
890	2207	270
891	2210	267
892	2212	265
893	2214	262
894	2217	260
895	2220	257
896	2222	255
897	2224	252
898	2227	250
899	2229	247
900	2231	245
901	2234	242
902	2236	240
903	2238	237
904	2241	235
905	2243	232
906	2245	230
907	2247	227
908	2250	225
909	2252	222
910	2255	220
911	2257	217
912	2259	215
913	2262	212
914	2264	210
915	2267	207
916	2269	205
917	2271	202
918	2274	200
919	2276	197
920	2278	195
921	2280	192
922	2283	190
923	2285	187
924	2287	185
925	2289	182
926	2292	180
927	2294	178
928	2296	175
929	2299	173
930	2301	170
931	2304	168
932	2306	165
933	2308	163
934	2310	160
935	2314	158
936	2316	155
937	2318	153
938	2321	150
939	2323	148
940	2325	145
941	2328	143
942	2330	140
943	2333	138
944	2335	135
945	2337	133
946	2339	130
947	2342	128
948	2345	126
949	2347	123
950	2349	121
951	2352	118
952	2354	116
953	2356	113
954	2359	111
955	2361	108
956	2364	106
957	2366	103
958	2368	101
959	2370	98
960	2373	96
961	2375	93
962	2378	91
963	2381	88
964	2383	86
965	2385	83
966	2387	81
967	2390	79
968	2392	76
969	2395	74
970	2397	71
971	2399	69
972	2401	66
973	2404	64
974	2406	61
975	2408	59
976	2411	56
977	2413	54
978	2415	51
979	2418	49
980	2420	46
981	2423	44
982	2425	41
983	2428	39
984	2430	37
985	2432	34
986	2435	32
987	2437	29
988	2439	27
989	2442	24
990	2444	22
991	2446	19
992	2449	17
993	2451	14
994	2453	12
995	2455	9
996	2458	7
997	2460	4
998	2462	2
999	2465	0
