iter	RMSE
171	0.1121664896
172	0.1119103036
173	0.1117608443
174	0.1115612329
175	0.1114234377
176	0.1111330088
177	0.1110555378
178	0.1108476338
179	0.1106004577
180	0.1104444736
181	0.1103519971
182	0.1101488277
183	0.1100456286
184	0.109918094
185	0.1096721719
186	0.1094308493
187	0.1092150259
188	0.1090708105
189	0.1087214626
190	0.1085042102
191	0.108382389
192	0.108151316
193	0.1079235074
194	0.1078102099
195	0.107591002
196	0.1073851798
197	0.1072025452
198	0.1069552021
199	0.1068475732
200	0.10666465
201	0.1064978406
202	0.1063836084
203	0.1061313621
204	0.1059009628
205	0.1057086491
206	0.1055099094
207	0.1053171285
208	0.1051052201
209	0.1049559195
210	0.104747457
211	0.1045755518
212	0.1044762521
213	0.1044104821
214	0.1042672919
215	0.1041586526
216	0.1039438309
217	0.1037680159
218	0.1036114999
219	0.1033403617
220	0.1030728263
221	0.1029439003
222	0.1028731129
223	0.1027121919
224	0.102562256
225	0.1024117238
226	0.102261584
227	0.1021390349
228	0.1020338383
229	0.1018134087
230	0.1016712965
231	0.1013344495
232	0.1010932149
233	0.1010473001
234	0.1008703883
235	0.1005904038
236	0.1003362879
237	0.1001442607
238	0.09999391622
239	0.09982385351
240	0.09968508041
241	0.09958511744
242	0.09944141797
243	0.09924161422
244	0.09910607408
245	0.09890877184
246	0.0987868202
247	0.09870495415
248	0.09853898586
249	0.09837258167
250	0.09824966325
251	0.09805760752
252	0.09789468925
253	0.09772215999
254	0.09760655524
255	0.09743876972
256	0.09738468439
257	0.09712896384
258	0.09698349449
259	0.09681748444
260	0.0966833424
261	0.09646052491
262	0.09626243503
263	0.09619849425
264	0.09609249273
265	0.09598057118
266	0.09588423386
267	0.09565766205
268	0.09560856482
269	0.0954852527
270	0.09533513533
271	0.09520743538
272	0.09514399934
273	0.09508437737
274	0.09491294831
275	0.09477395265
276	0.09456099201
277	0.09436127198
278	0.09429480555
279	0.09414893055
280	0.09398851252
281	0.09392118311
282	0.09377261262
283	0.09363739979
284	0.09345947487
285	0.09332755899
286	0.09311961926
287	0.09296133326
288	0.09280373552
289	0.09269386637
290	0.09262390949
291	0.09243078049
292	0.09229414635
293	0.09209648268
294	0.09200055106
295	0.09184969236
296	0.09170335993
297	0.09161340011
298	0.0914882611
299	0.09136135374
300	0.09106086375
301	0.09101259489
302	0.09091742621
303	0.09083515823
304	0.09072986494
305	0.09066225903
306	0.09052714539
307	0.09044585227
308	0.09040120444
309	0.09021639176
310	0.09011814134
311	0.08989225715
312	0.0896837824
313	0.08957095923
314	0.08945973624
315	0.08939035694
316	0.08925522639
317	0.08907220167
318	0.08894344726
319	0.08877250605
320	0.08857534002
321	0.08846302976
322	0.08836818528
323	0.08822832651
324	0.08811342209
325	0.08800494438
326	0.08788897886
327	0.08784215275
328	0.0877972862
329	0.08772853141
330	0.08760762121
331	0.08746082346
332	0.08735064864
333	0.0871962002
334	0.08706920185
335	0.08695350595
336	0.0869072078
337	0.08680697368
338	0.08677237831
339	0.08670505573
340	0.08662855478
341	0.08648558555
342	0.08640193515
343	0.08631438653
344	0.08625285097
345	0.08612313233
346	0.08596304219
347	0.08590670945
348	0.08577347129
349	0.08573797166
350	0.08556804019
351	0.08541919742
352	0.08529415947
353	0.08521586046
354	0.08507429513
355	0.08487859091
356	0.08484666567
357	0.08473848526
358	0.0845596177
359	0.0843976224
360	0.08436124012
361	0.084270885
362	0.08416287266
363	0.08400740472
364	0.08388261022
365	0.08380993389
366	0.08372281242
367	0.08364183032
368	0.08350876566
369	0.08334457859
370	0.08315952888
371	0.08305849674
372	0.08296017782
373	0.08283521054
374	0.08275476068
375	0.08269152469
376	0.08260367146
377	0.0825285978
378	0.08233411169
379	0.08221418442
380	0.08208744306
381	0.08200644462
382	0.08187863832
383	0.08183264178
384	0.08178307359
385	0.08172321993
386	0.08163028657
387	0.08152610553
388	0.0814023609
389	0.08134504308
390	0.08123510658
391	0.08115291899
392	0.08099686026
393	0.08096643581
394	0.08086318782
395	0.08078237081
396	0.0806297074
397	0.08049180283
398	0.08040369221
399	0.08032146443
400	0.08022716494
401	0.08014799278
402	0.08011529525
403	0.08002652085
404	0.0798966679
405	0.0798031829
406	0.07978659451
407	0.07971511332
408	0.07963528274
409	0.07958581789
410	0.07956139539
411	0.07947123775
412	0.07933561571
413	0.07922021512
414	0.07915397355
415	0.07911378995
416	0.07905880107
417	0.07896786135
418	0.07892063067
419	0.07885446226
420	0.07879894233
421	0.07869415335
422	0.07856594691
423	0.07848396652
424	0.07843581306
425	0.07824932942
426	0.07820517881
427	0.07807679587
428	0.07793814726
429	0.0778574899
430	0.07781411138
431	0.07769192874
432	0.07762023042
433	0.0775538645
434	0.07747509245
435	0.07741831011
436	0.07732457131
437	0.07729621108
438	0.07715988347
439	0.07704699245
440	0.07695667629
441	0.0768224515
442	0.0767038692
443	0.07660087684
444	0.07654233628
445	0.07649105042
446	0.07644324886
447	0.07638792994
448	0.07635185537
449	0.07624001655
450	0.07617680306
451	0.07601694075
452	0.07599016744
453	0.07596738383
454	0.07586603554
455	0.07570811565
456	0.07562807205
457	0.07557110725
458	0.07548956351
459	0.07535185826
460	0.07532701522
461	0.07519833542
462	0.07505613552
463	0.07495984734
464	0.07487593191
465	0.07478719387
466	0.07470881162
467	0.07462008164
468	0.07448929714
469	0.07442323294
470	0.07429549136
471	0.07421758356
472	0.07415473681
473	0.07402107576
474	0.07393940313
475	0.0738270768
476	0.07373407456
477	0.07364200529
478	0.07358234636
479	0.07354985166
480	0.07344090635
481	0.07328531067
482	0.0732021954
483	0.07312193028
484	0.07306913307
485	0.07296577719
486	0.07295548014
487	0.07278661024
488	0.0726796339
489	0.07265842852
490	0.07260641378
491	0.07247866922
492	0.07234488066
493	0.07225269964
494	0.07215189876
495	0.07212044869
496	0.07206273121
497	0.07204125594
498	0.07199545454
499	0.07189174522
500	0.07177573077
501	0.07171357227
502	0.0716840058
503	0.07165427996
504	0.07156462736
505	0.07143944874
506	0.07134712144
507	0.07124710941
508	0.07123203811
509	0.07113618839
510	0.07104125881
511	0.07101929215
512	0.07096298134
513	0.07092286757
514	0.07083935122
515	0.07075933294
516	0.07064430547
517	0.0705743841
518	0.07048395314
519	0.07041384066
520	0.07032235527
521	0.07023365633
522	0.07010991844
523	0.06997791136
524	0.06989344931
525	0.06980124655
526	0.06975885569
527	0.06973022028
528	0.06970567942
529	0.06964309031
530	0.06957588389
531	0.06948434059
532	0.06931639968
533	0.06924842141
534	0.06913646139
535	0.06908163318
536	0.06894769495
537	0.06892492309
538	0.06889968941
539	0.06879745973
540	0.06869842231
541	0.06863017439
542	0.06854343525
543	0.06850206872
544	0.06840236008
545	0.0682982026
546	0.06824612463
547	0.0682134718
548	0.06810147407
549	0.06806424571
550	0.06795482054
551	0.06789369873
552	0.06779018444
553	0.06770336545
554	0.06761847377
555	0.06751518375
556	0.06742431589
557	0.06737511755
558	0.06733279269
559	0.06727457267
560	0.06720304067
561	0.06713193799
562	0.0670538462
563	0.06700146689
564	0.06695241702
565	0.06688864318
566	0.06686906297
567	0.06681603767
568	0.06670486306
569	0.06668547595
570	0.06660376795
571	0.06656414375
572	0.06650540705
573	0.06642324193
574	0.06637714516
575	0.06636483592
576	0.06630887623
577	0.06619007732
578	0.06613778214
579	0.06602627482
580	0.06598564735
581	0.06595349561
582	0.06591623661
583	0.06590188919
584	0.06582759551
585	0.06568800579
586	0.06563077292
587	0.06554912676
588	0.06546986401
589	0.06536836427
590	0.06529660803
591	0.06521940855
592	0.06519848622
593	0.06514019488
594	0.06503604245
595	0.06495239185
596	0.06491208218
597	0.06486454932
598	0.06481063957
599	0.06478029496
600	0.06475743651
601	0.06464764934
602	0.06453576533
603	0.06452221479
604	0.06443711799
605	0.06436401463
606	0.06424235232
607	0.06420461452
608	0.06411119828
609	0.0640707841
610	0.06399807983
611	0.06393281947
612	0.06386866583
613	0.06378729096
614	0.06368703601
615	0.06361730144
616	0.06356907644
617	0.06350618258
618	0.06346649649
619	0.06343544731
620	0.06333207945
621	0.06326338742
622	0.0632099471
623	0.06313368104
624	0.06304517422
625	0.06299221343
626	0.0629212211
627	0.06282496134
628	0.06277873285
629	0.06274787037
630	0.06269128009
631	0.06262505654
632	0.06254652335
633	0.0624592836
634	0.06236536698
635	0.06224282151
636	0.06219323497
637	0.06217885987
638	0.062125705
639	0.0620445101
640	0.06199380409
641	0.06189767776
642	0.06181110773
643	0.06175140942
644	0.06170974851
645	0.06168371074
646	0.06162333769
647	0.06160583871
648	0.06156463895
649	0.0615220052
650	0.06146041865
651	0.06139595078
652	0.06137929591
653	0.06130599944
654	0.06123405928
655	0.06116718702
656	0.06113027875
657	0.06110319833
658	0.06108904167
659	0.06101009646
660	0.06095802033
661	0.0608946527
662	0.06082118571
663	0.06076625935
664	0.06074354552
665	0.06068349752
666	0.06063194533
667	0.06058233224
668	0.06053619912
669	0.06049281115
670	0.06043115217
671	0.06039857717
672	0.06033476583
673	0.06027416929
674	0.06022434865
675	0.06014699628
676	0.06012048455
677	0.06010741309
678	0.06004619475
679	0.05999372227
680	0.05994248456
681	0.05988688665
682	0.05982869808
683	0.0598200308
684	0.05979436787
685	0.05975424907
686	0.05971572156
687	0.05963274529
688	0.05953941085
689	0.05948751367
690	0.05939969589
691	0.05938788876
692	0.05931256009
693	0.05927050122
694	0.05919690076
695	0.05913984262
696	0.05903491189
697	0.05896928467
698	0.05891254764
699	0.05887996086
700	0.05880182684
701	0.05876477508
702	0.05871746834
703	0.05869519558
704	0.05866250986
705	0.05860228852
706	0.05854879111
707	0.05852125199
708	0.05849332269
709	0.05843785785
710	0.05839028043
711	0.05830596523
712	0.05822642258
713	0.05814936163
714	0.05808990271
715	0.05804278626
716	0.05799252515
717	0.05794176601
718	0.05786922525
719	0.05780681907
720	0.0577951402
721	0.05772723593
722	0.05767766491
723	0.05760664997
724	0.0575466082
725	0.05752067144
726	0.05744746982
727	0.05742735902
728	0.05736115059
729	0.05730616796
730	0.05721391516
731	0.05718061353
732	0.05712151757
733	0.05709689636
734	0.05708525447
735	0.05703384594
736	0.05696725327
737	0.05691462438
738	0.056868782
739	0.05682083254
740	0.0567384765
741	0.05669806504
742	0.05667869331
743	0.05660077776
744	0.0565615574
745	0.05654174844
746	0.05645662945
747	0.05639918784
748	0.05633555258
749	0.05627802936
750	0.05620197389
751	0.05610040171
752	0.05601378964
753	0.05595642956
754	0.05587846619
755	0.05580833031
756	0.05579129435
757	0.05573323424
758	0.05567598113
759	0.05564001177
760	0.0556107551
761	0.05560090017
762	0.05554383687
763	0.05549711135
764	0.05543909562
765	0.05534125647
766	0.05528338982
767	0.05524207949
768	0.05515364131
769	0.05507724175
770	0.05505330322
771	0.05500746457
772	0.05497120673
773	0.05489142338
774	0.05487288605
775	0.05485905189
776	0.05481625005
777	0.05473695182
778	0.05467636244
779	0.05462963958
780	0.05459459863
781	0.05456237677
782	0.054525939
783	0.05452011785
784	0.05447425798
785	0.05444666504
786	0.05438665409
787	0.05436128679
788	0.05431299763
789	0.05423261729
790	0.0542028561
791	0.05417543538
792	0.05416254907
793	0.05415295693
794	0.05411822284
795	0.05409153503
796	0.05403401079
797	0.05397632463
798	0.05391956742
799	0.053903798
800	0.0538678602
801	0.05380176096
802	0.05374386165
803	0.05368624629
804	0.05364685622
805	0.05356040842
806	0.05353228009
807	0.053481593
808	0.05342248318
809	0.05335726916
810	0.05332471577
811	0.05326525055
812	0.053225692
813	0.05316340399
814	0.05310128408
815	0.05307792489
816	0.05300144412
817	0.05298172025
818	0.05292920655
819	0.05285316366
820	0.05280677583
821	0.05276595052
822	0.05272622899
823	0.05268930531
824	0.05263566585
825	0.05260355276
826	0.05256441839
827	0.05250177897
828	0.05245268528
829	0.05240123563
830	0.05237850866
831	0.0523440034
832	0.05230028335
833	0.05224654783
834	0.05218903377
835	0.05209961332
836	0.05203818428
837	0.05201207449
838	0.05196457995
839	0.05190507277
840	0.05186298893
841	0.05181261523
842	0.0517522824
843	0.05174290516
844	0.051695463
845	0.05168719502
846	0.05161150011
847	0.05156724994
848	0.05154041419
849	0.05146125585
850	0.05143727287
851	0.05142654623
852	0.05138118989
853	0.05133049011
854	0.05129804919
855	0.05127264011
856	0.05126776122
857	0.05125416293
858	0.05124483802
859	0.05122196188
860	0.05120383897
861	0.05116520631
862	0.05107111258
863	0.05103265068
864	0.05098772182
865	0.05093264028
866	0.05090618221
867	0.05089255136
868	0.05085975932
869	0.05081628774
870	0.05076890919
871	0.05072238571
872	0.05065125072
873	0.0505762122
874	0.05052473188
875	0.05045850667
876	0.05042170011
877	0.05037086055
878	0.05031680787
879	0.05026437566
880	0.05020705899
881	0.05018659256
882	0.05011620718
883	0.05010661918
884	0.05009873062
885	0.0500785642
886	0.05007447673
887	0.05005020383
888	0.05002505079
889	0.04997956861
890	0.04995241662
891	0.04992454058
892	0.04989758738
893	0.04985190664
894	0.04984140606
895	0.04979928535
896	0.04975429002
897	0.04971842529
898	0.04968610888
899	0.04964943582
900	0.04958204368
901	0.04952659047
902	0.04947183068
903	0.04942323923
904	0.04940086045
905	0.04937902892
906	0.04931091858
907	0.04926728203
908	0.04923914389
909	0.04921048264
910	0.04918406092
911	0.04911485994
912	0.04909236395
913	0.04904016402
914	0.04900593735
915	0.04895843926
916	0.04888380739
917	0.04880301022
918	0.04877280188
919	0.04872634732
920	0.04867453113
921	0.04865254527
922	0.04862588124
923	0.04860281309
924	0.04854634421
925	0.04854219747
926	0.04847744253
927	0.04843645713
928	0.04839850724
929	0.04837143631
930	0.04832483037
931	0.04827401148
932	0.04823774942
933	0.04819857077
934	0.04816194486
935	0.04810043347
936	0.04806453205
937	0.04803867136
938	0.04799475547
939	0.04795129158
940	0.0479179048
941	0.04786831453
942	0.04784612103
943	0.0477975754
944	0.04777771896
945	0.04774453638
946	0.04770968683
947	0.04765044354
948	0.04761050103
949	0.04758424785
950	0.04751963924
951	0.04748519023
952	0.04742815416
953	0.04740543186
954	0.04736097354
955	0.0472921042
956	0.04724302886
957	0.04720728937
958	0.04715345658
959	0.0471415481
960	0.04710869826
961	0.04708970351
962	0.04708455461
963	0.0470510114
964	0.04699688793
965	0.04694356732
966	0.04688489514
967	0.04688025829
968	0.04687491778
969	0.04686844328
970	0.04681688691
971	0.0467832504
972	0.04676160009
973	0.04670065041
974	0.04664275191
975	0.04660367317
976	0.04652805137
977	0.04650048677
978	0.04649078861
979	0.04644510206
980	0.0464162177
981	0.04635412656
982	0.04630819324
983	0.04625700367
984	0.04622519425
985	0.04618472944
986	0.04612969243
987	0.04608568765
988	0.04605140677
989	0.04603969575
990	0.04600159014
991	0.04597311867
992	0.04592980073
993	0.04588260094
994	0.04585001999
995	0.04578572539
996	0.04577264949
997	0.04573173998
998	0.04569392492
999	0.0456410598
